ID	Species	Sepal.Length
ID_1	setosa	5.1
ID_2	setosa	4.9
ID_3	setosa	4.7
ID_4	setosa	4.6
ID_5	setosa	5
ID_6	setosa	5.4
ID_7	setosa	4.6
ID_8	setosa	5
ID_9	setosa	4.4
ID_10	setosa	4.9
ID_11	setosa	5.4
ID_12	setosa	4.8
ID_13	setosa	4.8
ID_14	setosa	4.3
ID_15	setosa	5.8
ID_16	setosa	5.7
ID_17	setosa	5.4
ID_18	setosa	5.1
ID_19	setosa	5.7
ID_20	setosa	5.1
ID_21	setosa	5.4
ID_22	setosa	5.1
ID_23	setosa	4.6
ID_24	setosa	5.1
ID_25	setosa	4.8
ID_26	setosa	5
ID_27	setosa	5
ID_28	setosa	5.2
ID_29	setosa	5.2
ID_30	setosa	4.7
ID_31	setosa	4.8
ID_32	setosa	5.4
ID_33	setosa	5.2
ID_34	setosa	5.5
ID_35	setosa	4.9
ID_36	setosa	5
ID_37	setosa	5.5
ID_38	setosa	4.9
ID_39	setosa	4.4
ID_40	setosa	5.1
ID_41	setosa	5
ID_42	setosa	4.5
ID_43	setosa	4.4
ID_44	setosa	5
ID_45	setosa	5.1
ID_46	setosa	4.8
ID_47	setosa	5.1
ID_48	setosa	4.6
ID_49	setosa	5.3
ID_50	setosa	5
ID_51	versicolor	7
ID_52	versicolor	6.4
ID_53	versicolor	6.9
ID_54	versicolor	5.5
ID_55	versicolor	6.5
ID_56	versicolor	5.7
ID_57	versicolor	6.3
ID_58	versicolor	4.9
ID_59	versicolor	6.6
ID_60	versicolor	5.2
ID_61	versicolor	5
ID_62	versicolor	5.9
ID_63	versicolor	6
ID_64	versicolor	6.1
ID_65	versicolor	5.6
ID_66	versicolor	6.7
ID_67	versicolor	5.6
ID_68	versicolor	5.8
ID_69	versicolor	6.2
ID_70	versicolor	5.6
ID_71	versicolor	5.9
ID_72	versicolor	6.1
ID_73	versicolor	6.3
ID_74	versicolor	6.1
ID_75	versicolor	6.4
ID_76	versicolor	6.6
ID_77	versicolor	6.8
ID_78	versicolor	6.7
ID_79	versicolor	6
ID_80	versicolor	5.7
ID_81	versicolor	5.5
ID_82	versicolor	5.5
ID_83	versicolor	5.8
ID_84	versicolor	6
ID_85	versicolor	5.4
ID_86	versicolor	6
ID_87	versicolor	6.7
ID_88	versicolor	6.3
ID_89	versicolor	5.6
ID_90	versicolor	5.5
ID_91	versicolor	5.5
ID_92	versicolor	6.1
ID_93	versicolor	5.8
ID_94	versicolor	5
ID_95	versicolor	5.6
ID_96	versicolor	5.7
ID_97	versicolor	5.7
ID_98	versicolor	6.2
ID_99	versicolor	5.1
ID_100	versicolor	5.7
ID_101	virginica	6.3
ID_102	virginica	5.8
ID_103	virginica	7.1
ID_104	virginica	6.3
ID_105	virginica	6.5
ID_106	virginica	7.6
ID_107	virginica	4.9
ID_108	virginica	7.3
ID_109	virginica	6.7
ID_110	virginica	7.2
ID_111	virginica	6.5
ID_112	virginica	6.4
ID_113	virginica	6.8
ID_114	virginica	5.7
ID_115	virginica	5.8
ID_116	virginica	6.4
ID_117	virginica	6.5
ID_118	virginica	7.7
ID_119	virginica	7.7
ID_120	virginica	6
ID_121	virginica	6.9
ID_122	virginica	5.6
ID_123	virginica	7.7
ID_124	virginica	6.3
ID_125	virginica	6.7
ID_126	virginica	7.2
ID_127	virginica	6.2
ID_128	virginica	6.1
ID_129	virginica	6.4
ID_130	virginica	7.2
ID_131	virginica	7.4
ID_132	virginica	7.9
ID_133	virginica	6.4
ID_134	virginica	6.3
ID_135	virginica	6.1
ID_136	virginica	7.7
ID_137	virginica	6.3
ID_138	virginica	6.4
ID_139	virginica	6
ID_140	virginica	6.9
ID_141	virginica	6.7
ID_142	virginica	6.9
ID_143	virginica	5.8
ID_144	virginica	6.8
ID_145	virginica	6.7
ID_146	virginica	6.7
ID_147	virginica	6.3
ID_148	virginica	6.5
ID_149	virginica	6.2
ID_150	virginica	5.9
