ID	Species	Sepal.Width
ID_1	setosa	3.5
ID_2	setosa	3
ID_3	setosa	3.2
ID_4	setosa	3.1
ID_5	setosa	3.6
ID_6	setosa	3.9
ID_7	setosa	3.4
ID_8	setosa	3.4
ID_9	setosa	2.9
ID_10	setosa	3.1
ID_11	setosa	3.7
ID_12	setosa	3.4
ID_13	setosa	3
ID_14	setosa	3
ID_15	setosa	4
ID_16	setosa	4.4
ID_17	setosa	3.9
ID_18	setosa	3.5
ID_19	setosa	3.8
ID_20	setosa	3.8
ID_21	setosa	3.4
ID_22	setosa	3.7
ID_23	setosa	3.6
ID_24	setosa	3.3
ID_25	setosa	3.4
ID_26	setosa	3
ID_27	setosa	3.4
ID_28	setosa	3.5
ID_29	setosa	3.4
ID_30	setosa	3.2
ID_31	setosa	3.1
ID_32	setosa	3.4
ID_33	setosa	4.1
ID_34	setosa	4.2
ID_35	setosa	3.1
ID_36	setosa	3.2
ID_37	setosa	3.5
ID_38	setosa	3.6
ID_39	setosa	3
ID_40	setosa	3.4
ID_41	setosa	3.5
ID_42	setosa	2.3
ID_43	setosa	3.2
ID_44	setosa	3.5
ID_45	setosa	3.8
ID_46	setosa	3
ID_47	setosa	3.8
ID_48	setosa	3.2
ID_49	setosa	3.7
ID_50	setosa	3.3
ID_51	versicolor	3.2
ID_52	versicolor	3.2
ID_53	versicolor	3.1
ID_54	versicolor	2.3
ID_55	versicolor	2.8
ID_56	versicolor	2.8
ID_57	versicolor	3.3
ID_58	versicolor	2.4
ID_59	versicolor	2.9
ID_60	versicolor	2.7
ID_61	versicolor	2
ID_62	versicolor	3
ID_63	versicolor	2.2
ID_64	versicolor	2.9
ID_65	versicolor	2.9
ID_66	versicolor	3.1
ID_67	versicolor	3
ID_68	versicolor	2.7
ID_69	versicolor	2.2
ID_70	versicolor	2.5
ID_71	versicolor	3.2
ID_72	versicolor	2.8
ID_73	versicolor	2.5
ID_74	versicolor	2.8
ID_75	versicolor	2.9
ID_76	versicolor	3
ID_77	versicolor	2.8
ID_78	versicolor	3
ID_79	versicolor	2.9
ID_80	versicolor	2.6
ID_81	versicolor	2.4
ID_82	versicolor	2.4
ID_83	versicolor	2.7
ID_84	versicolor	2.7
ID_85	versicolor	3
ID_86	versicolor	3.4
ID_87	versicolor	3.1
ID_88	versicolor	2.3
ID_89	versicolor	3
ID_90	versicolor	2.5
ID_91	versicolor	2.6
ID_92	versicolor	3
ID_93	versicolor	2.6
ID_94	versicolor	2.3
ID_95	versicolor	2.7
ID_96	versicolor	3
ID_97	versicolor	2.9
ID_98	versicolor	2.9
ID_99	versicolor	2.5
ID_100	versicolor	2.8
ID_101	virginica	3.3
ID_102	virginica	2.7
ID_103	virginica	3
ID_104	virginica	2.9
ID_105	virginica	3
ID_106	virginica	3
ID_107	virginica	2.5
ID_108	virginica	2.9
ID_109	virginica	2.5
ID_110	virginica	3.6
ID_111	virginica	3.2
ID_112	virginica	2.7
ID_113	virginica	3
ID_114	virginica	2.5
ID_115	virginica	2.8
ID_116	virginica	3.2
ID_117	virginica	3
ID_118	virginica	3.8
ID_119	virginica	2.6
ID_120	virginica	2.2
ID_121	virginica	3.2
ID_122	virginica	2.8
ID_123	virginica	2.8
ID_124	virginica	2.7
ID_125	virginica	3.3
ID_126	virginica	3.2
ID_127	virginica	2.8
ID_128	virginica	3
ID_129	virginica	2.8
ID_130	virginica	3
ID_131	virginica	2.8
ID_132	virginica	3.8
ID_133	virginica	2.8
ID_134	virginica	2.8
ID_135	virginica	2.6
ID_136	virginica	3
ID_137	virginica	3.4
ID_138	virginica	3.1
ID_139	virginica	3
ID_140	virginica	3.1
ID_141	virginica	3.1
ID_142	virginica	3.1
ID_143	virginica	2.7
ID_144	virginica	3.2
ID_145	virginica	3.3
ID_146	virginica	3
ID_147	virginica	2.5
ID_148	virginica	3
ID_149	virginica	3.4
ID_150	virginica	3
